
Omnivore menu, Fish soup, Grilled salmon, Vanilla ice-cream
Vegetarian menu, Mushroom cream soup, Cheese Mushrooms, Vanilla ice-cream
Flexitarean menu, Fish soup, Grilled salmon, Vanilla ice-cream
Omnivore menu, Beef soup, grilled pig, Cozonac
Vegetarian menu, Tomato soup, Grilled Zucchinni, Cozonac
Flexitarean menu, Tomato soup, Grilled Zucchinni, Cozonac
Omnivore menu, Carrot cream soup, Cod, Cozonac
Vegetarian menu, Tomato soup, Grilled Zucchinni, Cozonac
Flexitarean menu, Tomato soup, Grilled Zucchinni, Cozonac
Omnivore menu, Beef tummy soup, Carbonara pasta, Brownie
Vegetarian menu, Zucchinni soup, Salad, Brownie
Flexitarean menu, Zucchinni soup, Salad, Brownie
